site,date,timeEST,pH,DIC,spCond,temp,ANC960,ANCMet,precipCatch,fieldCode,notes,uniqueID,waterYr,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,ionError,duplicate,sampleType,ionBalance,canonical,pHmetrohm
S,1963-07-10,NA,4.25,NA,NA,NA,NA,NA,NA,NA,0,S_19630710_NA,1963,0.3,0.07,0.1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630716_NA,1963,0.19,0.03,0.1,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630724_NA,1963,0.35,0.04,0.11,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630801_NA,1963,0.29,0.1,0.16,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630807_NA,1963,0.14,0.02,0.06,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630814_NA,1963,0.12,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630821_NA,1963,0.14,0.03,0.09,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630828_NA,1963,0.54,0.12,0.09,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630830_NA,1963,0.15,0.06,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630904_NA,1963,0.13,0.04,0.12,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19630930_NA,1963,0.21,0.09,0.57,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631007_NA,1963,0.43,0.09,0.9,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631101_NA,1963,0.75,0.16,0.88,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631104_NA,1963,0.65,0.28,1.66,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631107_NA,1963,0.11,0.16,0.66,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631110_NA,1963,0.04,0.01,0.18,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631118_NA,1963,0.04,0.01,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631202_NA,1963,0.1,0.06,0.13,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1963-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19631216_NA,1963,0.1,0.02,0.46,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640106_NA,1963,0.2,0.02,0.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640113_NA,1963,0.06,0.02,0.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640120_NA,1963,0.19,0.03,0.05,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640127_NA,1963,0.04,0.01,0.03,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640204_NA,1963,0.09,0.05,0.07,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640210_NA,1963,0.34,0.06,0.14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640217_NA,1963,0.05,0.02,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640309_NA,1963,0.17,0.03,0.07,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640316_NA,1963,0.28,0.07,0.05,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640330_NA,1963,0.22,0.04,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640406_NA,1963,0.23,0.05,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640413_NA,1963,0.21,0.04,0.04,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640420_NA,1963,0.89,0.14,0.06,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640427_NA,1963,0.14,0.04,0.07,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640510_NA,1963,0.7,0.17,0.76,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640518_NA,1963,0.15,0.06,0.26,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640525_NA,1963,0.64,0.1,0.14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-06-29,NA,4.25,NA,NA,NA,NA,NA,NA,NA,0,S_19640629_NA,1964,0.58,0.1,0.27,0.06,NA,NA,0.06,0.3,4.2,0.77,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-07-06,NA,4.2,NA,NA,NA,NA,NA,NA,NA,2,S_19640706_NA,1964,0.37,0.05,0.09,0.05,NA,NA,0.3,0.1,3.92,0.93,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-08-02,NA,3.8,NA,NA,NA,NA,NA,NA,NA,0,S_19640802_NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,7.68,1.25,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-08-12,NA,4.43,NA,NA,NA,NA,NA,NA,NA,0,S_19640812_NA,1964,NA,NA,NA,NA,NA,NA,0.01,0.11,1.08,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-08-17,NA,4.32,NA,NA,NA,NA,NA,NA,NA,7,S_19640817_NA,1964,0.14,0.03,0.42,0.11,NA,NA,NA,0.02,2.35,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-08-24,NA,4.42,NA,NA,NA,NA,NA,NA,NA,7,S_19640824_NA,1964,0.1,0.01,0.01,0.03,NA,NA,0.005,0.16,2.43,0.18,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-09-01,NA,4.18,NA,NA,NA,NA,NA,NA,NA,7,S_19640901_NA,1964,0.96,0.02,0.03,0.03,NA,NA,0.04,0.14,2.96,0.04,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-09-08,NA,4.44,NA,NA,NA,NA,NA,NA,NA,7,S_19640908_NA,1964,0.27,0.02,0.34,0.02,NA,NA,0.08,0.26,1.65,0.01,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-09-14,NA,3.41,NA,NA,NA,NA,NA,NA,NA,2,S_19640914_NA,1964,0.48,0.96,0.14,0.2,NA,NA,0.11,0.61,12.2,4.36,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19640921_NA,1964,2.72,0.5,0.4,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-09-28,NA,3.02,NA,NA,NA,NA,NA,NA,NA,2,S_19640928_NA,1964,0.72,0.16,0.17,0.3,NA,NA,NA,NA,3.4,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-10-05,NA,3.99,NA,NA,NA,NA,NA,NA,NA,2,S_19641005_NA,1964,0.61,0.18,0.11,0.77,NA,NA,0.36,0.1,1.84,0.06,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19641020_NA,1964,1.49,0.61,0.53,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-10-27,NA,4.16,NA,NA,NA,NA,NA,NA,NA,2,S_19641027_NA,1964,0.64,0.71,0.12,1.37,NA,NA,0.99,0.1,1.04,0.01,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19641103_NA,1964,2.56,0.8,1.64,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-09,NA,3.84,NA,NA,NA,NA,NA,NA,NA,2,S_19641109_NA,1964,0.5,0.41,0.19,0.62,NA,NA,1.62,NA,3.16,0.01,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19641116_NA,1964,0.62,0.75,0.36,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-20,NA,4.23,NA,NA,NA,NA,NA,NA,NA,0,S_19641120_NA,1964,NA,NA,NA,NA,NA,NA,NA,0.1,2.9,1.19,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-24,NA,3.68,NA,NA,NA,NA,NA,NA,NA,2,S_19641124_NA,1964,0.18,0.15,0.03,0.13,NA,NA,NA,NA,2.64,0.52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-11-30,NA,4.5,NA,NA,NA,NA,NA,NA,NA,7,S_19641130_NA,1964,0.05,0.03,0.04,0.18,NA,NA,NA,0.005,1.55,0.02,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-12-07,NA,4.68,NA,NA,NA,NA,NA,NA,NA,7,S_19641207_NA,1964,0.1,0.01,0.01,0.03,NA,NA,NA,0.005,0.89,0.4,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-12-14,NA,4.13,NA,NA,NA,NA,NA,NA,NA,0,S_19641214_NA,1964,0.03,0.03,0.15,0.05,NA,NA,NA,0.03,4.55,5.32,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-12-21,NA,4.98,NA,NA,NA,NA,NA,NA,NA,7,S_19641221_NA,1964,0.46,0.65,0.13,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1964-12-28,NA,4.45,NA,NA,NA,NA,NA,NA,NA,7,S_19641228_NA,1964,0.14,0.01,0.01,0.07,NA,NA,NA,0.16,1.78,0.22,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-01-04,NA,4.1,NA,NA,NA,NA,NA,NA,NA,7,S_19650104_NA,1964,0.8,0.12,0.2,NA,NA,NA,NA,0.02,7.22,4.02,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-01-11,NA,3.99,NA,NA,NA,NA,NA,NA,NA,7,S_19650111_NA,1964,0.16,0.06,0.04,0.38,NA,NA,NA,0.02,4.58,1.36,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-01-18,NA,5.85,NA,NA,NA,NA,NA,NA,NA,7,S_19650118_NA,1964,0.13,0.03,0.08,0.13,NA,NA,NA,1.3,1.9,0.69,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-01-25,NA,4.88,NA,NA,NA,NA,NA,NA,NA,7,S_19650125_NA,1964,0.02,0.02,0.01,0.04,NA,NA,NA,0.8,0.62,0.02,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-02-01,NA,5.85,NA,NA,NA,NA,NA,NA,NA,7,S_19650201_NA,1964,0.27,0.04,0.04,0.16,NA,NA,NA,1.17,2.64,0.93,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-02-08,NA,4.6,NA,NA,NA,NA,NA,NA,NA,7,S_19650208_NA,1964,0.09,0.03,0.04,0.09,NA,NA,NA,0.11,1.9,0.34,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-02-15,NA,4.29,NA,NA,NA,NA,NA,NA,NA,7,S_19650215_NA,1964,0.07,0.02,0.04,0.1,NA,NA,NA,0.06,2.21,0.41,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650223_NA,1964,0.39,0.06,0.1,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-03-01,NA,4.36,NA,NA,NA,NA,NA,NA,NA,7,S_19650301_NA,1964,0.16,0.07,0.05,0.46,NA,NA,NA,0.01,0.78,0.18,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650329_NA,1964,0.45,0.1,0.15,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-04-12,NA,4.1,NA,NA,NA,NA,NA,NA,NA,0,S_19650412_NA,1964,0.31,0.05,0.1,0.14,NA,NA,NA,0.22,4.77,1.95,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-04-19,NA,4.45,NA,NA,NA,NA,NA,NA,NA,0,S_19650419_NA,1964,0.1,0.01,0.05,0.05,NA,NA,NA,0.74,2.35,0.72,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-04-27,NA,4.1,NA,NA,NA,NA,NA,NA,NA,7,S_19650427_NA,1964,0.22,0.05,0.27,0.05,NA,NA,NA,0.79,5.32,2.43,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650510_NA,1964,1.31,0.39,0.29,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-05-17,NA,4.23,NA,NA,NA,NA,NA,NA,NA,2,S_19650517_NA,1964,0.51,0.31,0.19,0.54,NA,NA,NA,0.08,4.89,0.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650524_NA,1964,0.5,0.55,0.26,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-06-01,NA,4.34,NA,NA,NA,NA,NA,NA,NA,2,S_19650601_NA,1965,0.78,0.29,0.26,0.39,NA,NA,NA,0.06,4.82,2.06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-06-15,NA,4.24,NA,NA,NA,NA,NA,NA,NA,2,S_19650615_NA,1965,0.16,0.1,0.03,0.08,NA,NA,NA,0.05,3.43,0.03,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-06-21,NA,4.2,NA,NA,NA,NA,NA,NA,NA,2,S_19650621_NA,1965,0.32,0.36,0.48,0.28,NA,NA,NA,0.03,3.65,0.04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-06-28,NA,3.92,NA,NA,NA,NA,NA,NA,NA,2,S_19650628_NA,1965,0.15,0.07,0.05,0.15,NA,NA,NA,0.02,5.48,1.36,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-07-06,NA,4.24,NA,NA,NA,NA,NA,NA,NA,2,S_19650706_NA,1965,0.17,0.21,0.06,0.23,NA,NA,NA,0.48,4.38,0.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-07-12,NA,4.14,NA,NA,NA,NA,NA,NA,NA,2,S_19650712_NA,1965,0.24,0.37,0.12,0.31,NA,NA,NA,0.3,4.67,0.28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-07-19,NA,4.2,NA,NA,NA,NA,NA,NA,NA,2,S_19650719_NA,1965,0.1,0.06,0.03,0.06,NA,NA,NA,0.12,3.73,0.06,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650726_NA,1965,0.32,0.63,0.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19650802_NA,1965,0.11,0.36,0.14,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-08-09,NA,4.1,NA,NA,NA,NA,NA,NA,NA,7,S_19650809_NA,1965,0.1,0.02,0.02,0.29,NA,NA,NA,0.15,3.94,1.09,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-08-16,NA,4.22,NA,NA,NA,NA,NA,NA,NA,2,S_19650816_NA,1965,0.16,0.08,0.14,0.44,NA,NA,NA,0.94,3.8,0.11,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-08-23,NA,4.13,NA,NA,NA,NA,NA,NA,NA,7,S_19650823_NA,1965,0.09,0.01,0.005,0.22,NA,NA,NA,0.04,3.88,1.21,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-08-30,NA,3.92,NA,NA,NA,NA,NA,NA,NA,2,S_19650830_NA,1965,0.3,0.07,0.12,0.31,NA,NA,NA,0.17,6.6,1.16,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-09-07,NA,4.14,NA,NA,NA,NA,NA,NA,NA,7,S_19650907_NA,1965,0.05,0.02,0.01,0.11,NA,NA,NA,0.16,3.45,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-09-13,NA,3.76,NA,NA,NA,NA,NA,NA,NA,2,S_19650913_NA,1965,0.49,0.06,0.1,0.41,NA,NA,NA,NA,8.54,3.45,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-09-20,NA,4.25,NA,NA,NA,NA,NA,NA,NA,2,S_19650920_NA,1965,0.19,0.04,0.01,0.11,NA,NA,NA,0.005,3.34,0.06,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-09-27,NA,4.38,NA,NA,NA,NA,NA,NA,NA,7,S_19650927_NA,1965,0.09,0.01,0.01,0.06,NA,NA,NA,0.005,1.67,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-10-04,NA,4.39,NA,NA,NA,NA,NA,NA,NA,7,S_19651004_NA,1965,0.33,0.04,0.02,0.1,NA,NA,NA,0.005,2.17,0.79,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-10-11,NA,4.25,NA,NA,NA,NA,NA,NA,NA,2,S_19651011_NA,1965,0.2,0.05,0.08,0.15,NA,NA,NA,0.005,2.44,0.73,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-10-18,NA,4.1,NA,NA,NA,NA,NA,NA,NA,2,S_19651018_NA,1965,0.19,0.03,0.06,0.11,NA,NA,0.45,0.43,4.07,2.23,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-10-25,NA,4.25,NA,NA,NA,NA,NA,NA,NA,2,S_19651025_NA,1965,0.13,0.06,0.04,0.11,NA,NA,0.46,0.31,2.52,1.05,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-11-01,NA,4.34,NA,NA,NA,NA,NA,NA,NA,0,S_19651101_NA,1965,0.17,0.02,0.08,0.03,NA,NA,NA,NA,2.13,1.91,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
S,1965-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S_19651108_NA,1965,0.64,0.13,0.17,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
